name,name_clean,text,text_length,label,label_encoded
Antiseptic,antiseptic,download app now medicine,4,general_medicine,0
Deodrant Roll On,deodrant roll on,deodrant download app now medicine,5,general_medicine,0
Skeletal Muscle Relaxant,skeletal muscle relaxant,download app now medicine,4,general_medicine,0
Anti-Fungal & Steroid,anti-fungal & steroid,anti steroid download app now medicine,6,general_medicine,0
Anti-Virals,anti-virals,anti download app now medicine,5,general_medicine,0
Vaccines,vaccines,download app now medicine,4,general_medicine,0
Mouth & Gum Care,mouth & gum care,care download app now medicine,5,general_medicine,0
Male Sex Horm / Androgens,male sex horm / androgens,download app now medicine,4,general_medicine,0
Miscellaneous,miscellaneous,download app now medicine,4,general_medicine,0
Gynaecology&Urinary Tract Dis,gynaecology&urinary tract dis,tract download app now medicine,5,general_medicine,0
Eye Irrigation,eye irrigation,eye download app now medicine,5,general_medicine,0
Elderly Care,elderly care,care download app now medicine,5,general_medicine,0
Shave & After Shave Products,shave & after shave products,products download app now medicine,5,general_medicine,0
Gout Treatment,gout treatment,treatment download app now medicine,5,general_medicine,0
Headache&Fever,headache&fever,download app now medicine,4,general_medicine,0
Lip,lip,download app now medicine,4,general_medicine,0
Topical Steroid,topical steroid,topical steroid download app now medicine,6,general_medicine,0
Body Care,body care,body care download app now medicine,6,general_medicine,0
Baby Diapers,baby diapers,baby download app now medicine,5,general_medicine,0
Pulse Oximeters,pulse oximeters,download app now medicine,4,general_medicine,0
Osteoporosis/Arthritis Manag,osteoporosis/arthritis manag,download app now medicine,4,general_medicine,0
Liver Disease Management,liver disease management,download app now medicine,4,general_medicine,0
Topical Prepareation,topical prepareation,topical download app now medicine,5,general_medicine,0
Hand Wash,hand wash,hand download app now medicine,5,general_medicine,0
Migraine Treatment,migraine treatment,treatment download app now medicine,5,general_medicine,0
Perfume,perfume,download app now medicine,4,general_medicine,0
Alcohol & Sanitizers,alcohol & sanitizers,download app now medicine,4,general_medicine,0
Shaving & Trimming Electronics,shaving & trimming electronics,download app now medicine,4,general_medicine,0
Gluco-Corticoid,gluco-corticoid,download app now medicine,4,general_medicine,0
Body Moisturizers,body moisturizers,body moisturizers download app now medicine,6,general_medicine,0
Ulcer Treatment,ulcer treatment,treatment download app now medicine,5,general_medicine,0
Pregnancy Check,pregnancy check,download app now medicine,4,general_medicine,0
Female Sex Hormones,female sex hormones,download app now medicine,4,general_medicine,0
Vascularitics,vascularitics,download app now medicine,4,general_medicine,0
Eye Allergy & Inflammation,eye allergy & inflammation,eye download app now medicine,5,general_medicine,0
Steroid,steroid,steroid download app now medicine,5,general_medicine,0
Eye Local Anaesthetic.,eye local anaesthetic.,eye anaesthetic download app now medicine,6,general_medicine,0
Anti-Dandruff,anti-dandruff,anti download app now medicine,5,general_medicine,0
Anti-Hypotension,anti-hypotension,anti download app now medicine,5,general_medicine,0
Women Care,women care,care download app now medicine,5,general_medicine,0
Anti-Spasmodic,anti-spasmodic,anti download app now medicine,5,general_medicine,0
Psychotic Disorders,psychotic disorders,download app now medicine,4,general_medicine,0
Local Anaesthetic,local anaesthetic,anaesthetic download app now medicine,5,general_medicine,0
Topical Anti-Viral,topical anti-viral,topical anti download app now medicine,6,general_medicine,0
Immunomodulator.,immunomodulator.,download app now medicine,4,general_medicine,0
Hair Mask,hair mask,hair download app now medicine,5,general_medicine,0
Analgesic / A. Rheumatic,analgesic / a. rheumatic,download app now medicine,4,general_medicine,0
Appetite Control & Fat Burn,appetite control & fat burn,download app now medicine,4,general_medicine,0
Anti-Emetic,anti-emetic,anti download app now medicine,5,general_medicine,0
Cathartic/Laxative/Purgative,cathartic/laxative/purgative,download app now medicine,4,general_medicine,0
Lubricants & Moisturizers,lubricants & moisturizers,moisturizers download app now medicine,5,general_medicine,0
Comfort & Relaxation,comfort & relaxation,download app now medicine,4,general_medicine,0
Face Massagers & Derma Rollers,face massagers & derma rollers,face download app now medicine,5,general_medicine,0
Anti-Galactorrhoea,anti-galactorrhoea,anti download app now medicine,5,general_medicine,0
Topical Steroid & Anti-Biotic,topical steroid & anti-biotic,topical steroid anti biotic download app now medicine,8,general_medicine,0
Honey & Bee products,honey & bee products,products download app now medicine,5,general_medicine,0
Hair Conditioner,hair conditioner,hair download app now medicine,5,general_medicine,0
Hair Shampoo,hair shampoo,hair download app now medicine,5,general_medicine,0
Scales,scales,download app now medicine,4,general_medicine,0
Haemorrhoids & Anal Fissures,haemorrhoids & anal fissures,download app now medicine,4,general_medicine,0
Artixiban 5 Mg 30 Tab (2+1) #,artixiban  30 tab (2+1) #,download app now medicine,4,general_medicine,0
Contraceptives,contraceptives,download app now medicine,4,general_medicine,0
Nebulizer & Accessories,nebulizer & accessories,accessories download app now medicine,5,general_medicine,0
Baby Health Care,baby health care,baby health care download app now medicine,7,general_medicine,0
Immuno-Suppresives,immuno-suppresives,download app now medicine,4,general_medicine,0
Sedatives & Hypnotics,sedatives & hypnotics,download app now medicine,4,general_medicine,0
Foot Care,foot care,foot care download app now medicine,6,general_medicine,0
Neutropenia,neutropenia,download app now medicine,4,general_medicine,0
Infertility Treatment,infertility treatment,treatment download app now medicine,5,general_medicine,0
Baby Wipes,baby wipes,baby download app now medicine,5,general_medicine,0
Angina Treatment,angina treatment,treatment download app now medicine,5,general_medicine,0
Sanitary Napkins,sanitary napkins,download app now medicine,4,general_medicine,0
Anti-Parkinsonism,anti-parkinsonism,anti download app now medicine,5,general_medicine,0
Women Sanitary Care,women sanitary care,care download app now medicine,5,general_medicine,0
Mucolytic / Muco-Regulator,mucolytic / muco-regulator,download app now medicine,4,general_medicine,0
Multivitamins,multivitamins,download app now skin care,5,general_medicine,0
Cytostatic Anti-Androgen,cytostatic anti-androgen,cytostatic anti download app now medicine,6,general_medicine,0
Medical Supplies,medical supplies,medical supplies download app now medicine,6,general_medicine,0
Anti-Dysenteric/Amoebic/Paras,anti-dysenteric/amoebic/paras,anti download app now medicine,5,general_medicine,0
Dental Care,dental care,care download app now medicine,5,general_medicine,0
Sugar Substitutes,sugar substitutes,download app now medicine,4,general_medicine,0
Lip Care,lip care,care download app now medicine,5,general_medicine,0
Skin Whitening,skin whitening,skin download app now medicine,5,general_medicine,0
Enzyme Inhibitor,enzyme inhibitor,download app now medicine,4,general_medicine,0
Body Mist,body mist,body download app now medicine,5,general_medicine,0
Cns Stimulants,cns stimulants,download app now medicine,4,general_medicine,0
Condoms,condoms,download app now medicine,4,general_medicine,0
Menopausal&Gyn. Disorders,menopausal&gyn. disorders,download app now medicine,4,general_medicine,0
Toothpaste,toothpaste,download app now medicine,4,general_medicine,0
Vitiligo Treatment,vitiligo treatment,treatment download app now medicine,5,general_medicine,0
Shaving Machines,shaving machines,download app now medicine,4,general_medicine,0
Baby Diapers & Wips,baby diapers & wips,baby download app now medicine,5,general_medicine,0
Nails Beauty,nails beauty,download app now medicine,4,general_medicine,0
Skin Moisturizers,skin moisturizers,skin moisturizers download app now medicine,6,general_medicine,0
Baby Equipment& Pacifiers,baby equipment& pacifiers,baby download app now medicine,5,general_medicine,0
Breath Fresheners,breath fresheners,download app now medicine,4,general_medicine,0
Anti-Acne,anti-acne,anti download app now medicine,5,general_medicine,0
Steroid & Anti-Biotic,steroid & anti-biotic,steroid anti biotic download app now medicine,7,general_medicine,0
Body Firming & Anti-Ageing,body firming & anti-ageing,body anti download app now medicine,6,general_medicine,0
Interferons,interferons,download app now medicine,4,general_medicine,0
Gastro-Intestinal Tract,gastro-intestinal tract,tract download app now medicine,5,general_medicine,0
Beard Care,beard care,care download app now medicine,5,general_medicine,0
Nutrition Supplements,nutrition supplements,nutrition download app now medicine,5,general_medicine,0
Medical Earrings,medical earrings,medical download app now medicine,5,general_medicine,0
Mouthwash & Gargle.,mouthwash & gargle.,download app now medicine,4,general_medicine,0
Baby Food,baby food,baby download app now medicine,5,general_medicine,0
Soothing / Protective,soothing / protective,download app now medicine,4,general_medicine,0
Breastfeeding Supplies,breastfeeding supplies,supplies download app now medicine,5,general_medicine,0
Nicotine Replacement Therapy,nicotine replacement therapy,download app now medicine,4,general_medicine,0
