name,name_clean,text,text_length,label,label_encoded,has_image,image_name
Baby Diapers & Wips,baby diapers & wips,baby diapers download app now medicine heart,7,heart,0,True,heart\baby_diapers_wips_1.jpg
Baby Diapers,baby diapers,baby diapers download app now medicine heart,7,heart,0,True,heart\baby_diapers_1.jpg
Baby Wipes,baby wipes,baby download app now medicine heart,6,heart,0,True,heart\baby_wipes_1.jpg
Headache&Fever,headache&fever,download app now medicine heart,5,heart,0,True,heart\headachefever_1.jpg
Migraine Treatment,migraine treatment,treatment download app now medicine heart,6,heart,0,True,heart\migraine_treatment_1.jpg
Non- Narcotic Analgesic,non- narcotic analgesic,analgesic download app now medicine heart,6,heart,0,True,heart\non_narcotic_analgesic_1.jpg
Food & Beverages,food & beverages,food download app now medicine heart,6,heart,0,True,heart\food_beverages_1.jpg
Salt Substitute,salt substitute,download app now medicine heart,5,heart,0,True,heart\salt_substitute_1.jpg
Honey & Bee products,honey & bee products,products download app now medicine heart,6,heart,0,True,heart\honey_bee_products_1.jpg
Vitamins &/Or Minerals,vitamins &/or minerals,download app now medicine heart,5,heart,0,True,heart\vitamins_or_minerals_1.jpg
Eye Aid Vitamin,eye aid vitamin,eye aid download app now medicine heart,7,heart,0,False,heart\eye_aid_vitamin_1.jpg
Multivitamins,multivitamins,download app now medicine heart,5,heart,0,True,heart\multivitamins_1.jpg
Hair Tonic,hair tonic,hair download app now medicine heart,6,heart,0,True,heart\hair_tonic_1.jpg
Mouth & Gum Care,mouth & gum care,mouth gum care download app now medicine heart,8,heart,0,True,heart\mouth_gum_care_1.jpg
Mouthwash & Gargle.,mouthwash & gargle.,download app now medicine heart,5,heart,0,True,heart\mouthwash_gargle_1.jpg
Teeth & Gum Care,teeth & gum care,teeth gum care download app now medicine heart,8,heart,0,True,heart\teeth_gum_care_1.jpg
Lozenges,lozenges,download app now medicine heart,5,heart,0,True,heart\lozenges_1.jpg
Topical Treatment Of The Mouth,topical treatment of the mouth,topical treatment mouth download app now medicine heart,8,heart,0,True,heart\topical_treatment_of_the_mouth_1.jpg
Topical Prepareation,topical prepareation,topical download app now medicine heart,6,heart,0,True,heart\topical_prepareation_1.jpg
Anti-Virals,anti-virals,anti download app now medicine heart,6,heart,0,True,heart\anti_virals_1.jpg
Soothing / Protective,soothing / protective,download app now medicine heart,5,heart,0,True,heart\soothing_protective_1.jpg
Burns/Wounds,burns/wounds,download app now medicine heart,5,heart,0,True,heart\burnswounds_1.jpg
Skin Depigmentation,skin depigmentation,skin download app now medicine heart,6,heart,0,True,heart\skin_depigmentation_1.jpg
Body Firming & Anti-Ageing,body firming & anti-ageing,body anti ageing download app now medicine heart,8,heart,0,True,heart\body_firming_anti_ageing_1.jpg
Alopecia Treatment,alopecia treatment,treatment download app now medicine heart,6,heart,0,True,heart\alopecia_treatment_1.jpg
Varicose Veins,varicose veins,download app now medicine heart,5,heart,0,True,heart\varicose_veins_1.jpg
Anthelmintics.,anthelmintics.,download app now medicine heart,5,heart,0,True,heart\anthelmintics_1.jpg
Psoriasis/Eczema,psoriasis/eczema,download app now medicine heart,5,heart,0,True,heart\psoriasiseczema_1.jpg
Sun Screen,sun screen,sun download app now medicine heart,6,heart,0,False,heart\sun_screen_1.jpg
Astringent,astringent,download app now medicine heart,5,heart,0,False,heart\astringent_1.jpg
Local Anaesthetic,local anaesthetic,local anaesthetic download app now medicine heart,7,heart,0,True,heart\local_anaesthetic_1.jpg
Anti-Dandruff,anti-dandruff,anti download app now medicine heart,6,heart,0,True,heart\anti_dandruff_1.jpg
Anti- Fungals,anti- fungals,anti download app now medicine heart,6,heart,0,True,heart\anti_fungals_1.jpg
Male Sex Horm / Androgens,male sex horm / androgens,male sex download app now medicine heart,7,heart,0,True,heart\male_sex_horm_androgens_1.jpg
Medical Soap,medical soap,medical download app now medicine heart,6,heart,0,True,heart\medical_soap_1.jpg
Haemorrhoids & Anal Fissures,haemorrhoids & anal fissures,download app now medicine heart,5,heart,0,True,heart\haemorrhoids_anal_fissures_1.jpg
Warts&Anti-Corn Preparations,warts&anti-corn preparations,anti preparations download app now medicine heart,7,heart,0,True,heart\wartsanti_corn_preparations_1.jpg
Anti-Biotics,anti-biotics,anti download app now medicine heart,6,heart,0,True,heart\anti_biotics_1.jpg
Topical Anti- Biotic,topical anti- biotic,topical anti biotic download app now medicine heart,8,heart,0,True,heart\topical_anti_biotic_1.jpg
Anti-Acne,anti-acne,anti acne download app now medicine heart,7,heart,0,True,heart\anti_acne_1.jpg
Blank,blank,download app now medicine heart,5,heart,0,True,heart\blank_1.jpg
Anti-Fungal & Steroid,anti-fungal & steroid,anti steroid download app now medicine heart,7,heart,0,True,heart\anti_fungal_steroid_1.jpg
Antiseptic,antiseptic,antiseptic download app now medicine heart,6,heart,0,True,heart\antiseptic_1.jpg
Scabies & Lice,scabies & lice,lice download app now medicine heart,6,heart,0,True,heart\scabies_lice_1.jpg
Vitiligo Treatment,vitiligo treatment,treatment download app now medicine heart,6,heart,0,True,heart\vitiligo_treatment_1.jpg
Steroid,steroid,steroid download app now medicine heart,6,heart,0,True,heart\steroid_1.jpg
Steroid & Anti-Biotic,steroid & anti-biotic,steroid anti biotic download app now medicine heart,8,heart,0,True,heart\steroid_anti_biotic_1.jpg
Analgesic / A. Rheumatic,analgesic / a. rheumatic,analgesic a download app now medicine heart,7,heart,0,True,heart\analgesic_a_rheumatic_1.jpg
"Eye,Ear,Nose","eye,ear,nose",eye ear nose download app now medicine heart,8,heart,0,True,heart\eyeearnose_1.jpg
Ear Preparation,ear preparation,ear preparation download app now medicine heart,7,heart,0,True,heart\ear_preparation_1.jpg
Eye Irrigation,eye irrigation,eye download app now medicine heart,6,heart,0,True,heart\eye_irrigation_1.jpg
Contact Lens Care,contact lens care,care download app now medicine heart,6,heart,0,True,heart\contact_lens_care_1.jpg
Topical Steroid & Anti-Biotic,topical steroid & anti-biotic,topical steroid anti biotic download app now medicine heart,9,heart,0,True,heart\topical_steroid_anti_biotic_1.jpg
Eye Local Anaesthetic.,eye local anaesthetic.,eye local anaesthetic download app now medicine heart,8,heart,0,True,heart\eye_local_anaesthetic_1.jpg
Topical Anti-Viral,topical anti-viral,topical anti download app now medicine heart,7,heart,0,True,heart\topical_anti_viral_1.jpg
Glaucoma Treatment,glaucoma treatment,treatment download app now medicine heart,6,heart,0,True,heart\glaucoma_treatment_1.jpg
Nose Preparation,nose preparation,nose preparation download app now medicine heart,7,heart,0,True,heart\nose_preparation_1.jpg
Eye Allergy & Inflammation,eye allergy & inflammation,eye download app now medicine heart,6,heart,0,True,heart\eye_allergy_inflammation_1.jpg
Mydriatics,mydriatics,download app now medicine heart,5,heart,0,True,heart\mydriatics_1.jpg
Topical Steroid,topical steroid,topical steroid download app now medicine heart,7,heart,0,True,heart\topical_steroid_1.jpg
Central Nervous System,central nervous system,system download app now medicine heart,6,heart,0,True,heart\central_nervous_system_1.jpg
Psychotic Disorders,psychotic disorders,disorders download app now medicine heart,6,heart,0,True,heart\psychotic_disorders_1.jpg
Sedatives & Hypnotics,sedatives & hypnotics,download app now medicine heart,5,heart,0,True,heart\sedatives_hypnotics_1.jpg
Cerebral Stimulant,cerebral stimulant,download app now medicine heart,5,heart,0,True,heart\cerebral_stimulant_1.jpg
Alzheimer Treatment,alzheimer treatment,treatment download app now medicine heart,6,heart,0,True,heart\alzheimer_treatment_1.jpg
Anti-Parkinsonism,anti-parkinsonism,anti download app now medicine heart,6,heart,0,True,heart\anti_parkinsonism_1.jpg
Cns Stimulants,cns stimulants,download app now medicine heart,5,heart,0,True,heart\cns_stimulants_1.jpg
General Anaesthetic,general anaesthetic,anaesthetic download app now medicine heart,6,heart,0,True,heart\general_anaesthetic_1.jpg
Anti-Epileptic & A. Convulsant,anti-epileptic & a. convulsant,anti a download app now medicine heart,7,heart,0,True,heart\anti_epileptic_a_convulsant_1.jpg
Neurotonic,neurotonic,download app now medicine heart,5,heart,0,True,heart\neurotonic_1.jpg
Anti-Depressant,anti-depressant,anti download app now medicine heart,6,heart,0,True,heart\anti_depressant_1.jpg
ADHD(Attent.Deficit.Hyperac.D),adhd(attent.deficit.hyperac.d),download app now medicine heart,5,heart,0,True,heart\adhdattentdeficithyperacd_1.jpg
Miscellaneous,miscellaneous,download app now medicine heart,5,heart,0,True,heart\miscellaneous_1.jpg
Anti-Dote,anti-dote,anti download app now medicine heart,6,heart,0,True,heart\anti_dote_1.jpg
Anaemia,anaemia,download app now medicine heart,5,heart,0,True,heart\anaemia_1.jpg
Infections,infections,download app now medicine heart,5,heart,0,True,heart\infections_1.jpg
Immunomodulator.,immunomodulator.,download app now medicine heart,5,heart,0,True,heart\immunomodulator_1.jpg
Vaccines,vaccines,download app now medicine heart,5,heart,0,True,heart\vaccines_1.jpg
Weight Control & Fitness,weight control & fitness,control fitness download app now medicine heart,7,heart,0,True,heart\weight_control_fitness_1.jpg
Appetite Control & Fat Burn,appetite control & fat burn,control download app now medicine heart,6,heart,0,True,heart\appetite_control_fat_burn_1.jpg
Anabolic,anabolic,download app now medicine heart,5,heart,0,True,heart\anabolic_1.jpg
Sugar Substitutes,sugar substitutes,download app now medicine heart,5,heart,0,True,heart\sugar_substitutes_1.jpg
Musculo-Skeletal System,musculo-skeletal system,skeletal system download app now medicine heart,7,heart,0,True,heart\musculo_skeletal_system_1.jpg
Mytonics,mytonics,download app now medicine heart,5,heart,0,True,heart\mytonics_1.jpg
Gout Treatment,gout treatment,treatment download app now medicine heart,6,heart,0,True,heart\gout_treatment_1.jpg
Skeletal Muscle Relaxant,skeletal muscle relaxant,skeletal download app now medicine heart,6,heart,0,True,heart\skeletal_muscle_relaxant_1.jpg
Osteoporosis/Arthritis Manag,osteoporosis/arthritis manag,download app now medicine heart,5,heart,0,True,heart\osteoporosisarthritis_manag_1.jpg
Other Anti-Rheumatics,other anti-rheumatics,anti download app now medicine heart,6,heart,0,True,heart\other_anti_rheumatics_1.jpg
Respiratory System,respiratory system,system download app now medicine heart,6,heart,0,True,heart\respiratory_system_1.jpg
Cough Expectorant & Sedative,cough expectorant & sedative,download app now medicine heart,5,heart,0,True,heart\cough_expectorant_sedative_1.jpg
Bronchodilator,bronchodilator,download app now medicine heart,5,heart,0,True,heart\bronchodilator_1.jpg
Anti-Catarrhals,anti-catarrhals,anti download app now medicine heart,6,heart,0,True,heart\anti_catarrhals_1.jpg
Anti- Histamines&Anti-Inflam,anti- histamines&anti-inflam,anti anti download app now medicine heart,7,heart,0,True,heart\anti_histaminesanti_inflam_1.jpg
Nicotine Replacement Therapy,nicotine replacement therapy,therapy download app now medicine heart,6,heart,0,True,heart\nicotine_replacement_therapy_1.jpg
Mucolytic / Muco-Regulator,mucolytic / muco-regulator,download app now medicine heart,5,heart,0,True,heart\mucolytic_muco_regulator_1.jpg
Anti-Tussive,anti-tussive,anti download app now medicine heart,6,heart,0,True,heart\anti_tussive_1.jpg
Gastro-Intestinal Tract,gastro-intestinal tract,tract download app now medicine heart,6,heart,0,True,heart\gastro_intestinal_tract_1.jpg
Antacids,antacids,download app now medicine heart,5,heart,0,True,heart\antacids_1.jpg
Cathartic/Laxative/Purgative,cathartic/laxative/purgative,download app now medicine heart,5,heart,0,True,heart\catharticlaxativepurgative_1.jpg
Anti-Flatulence,anti-flatulence,anti download app now medicine heart,6,heart,0,True,heart\anti_flatulence_1.jpg
Plasma Substituent/ Expander,plasma substituent/ expander,download app now medicine heart,5,heart,0,True,heart\plasma_substituent_expander_1.jpg
Liver Disease Management,liver disease management,management download app now medicine heart,6,heart,0,True,heart\liver_disease_management_1.jpg
Anti-Spasmodic,anti-spasmodic,anti download app now medicine heart,6,heart,0,True,heart\anti_spasmodic_1.jpg
Ulcer Treatment,ulcer treatment,treatment download app now medicine heart,6,heart,0,True,heart\ulcer_treatment_1.jpg
Anti-Dysenteric/Amoebic/Paras,anti-dysenteric/amoebic/paras,anti download app now medicine heart,6,heart,0,True,heart\anti_dysentericamoebicparas_1.jpg
Anti-Diarrhoeal,anti-diarrhoeal,anti download app now medicine heart,6,heart,0,True,heart\anti_diarrhoeal_1.jpg
Anti-Emetic,anti-emetic,anti download app now medicine heart,6,heart,0,True,heart\anti_emetic_1.jpg
Digestive,digestive,download app now medicine heart,5,heart,0,True,heart\digestive_1.jpg
Lipids Regulation.,lipids regulation.,download app now medicine heart,5,heart,0,True,heart\lipids_regulation_1.jpg
Gynaecology&Urinary Tract Dis,gynaecology&urinary tract dis,urinary tract download app now medicine heart,7,heart,0,True,heart\gynaecologyurinary_tract_dis_1.jpg
Prostatic Hyperplasia,prostatic hyperplasia,download app now medicine heart,5,heart,0,True,heart\prostatic_hyperplasia_1.jpg
Menopausal&Gyn. Disorders,menopausal&gyn. disorders,disorders download app now medicine heart,6,heart,0,True,heart\menopausalgyn_disorders_1.jpg
Urinary Tract Antiseptic,urinary tract antiseptic,urinary tract antiseptic download app now medicine heart,8,heart,0,True,heart\urinary_tract_antiseptic_1.jpg
Nocturnal Enuresis,nocturnal enuresis,download app now medicine heart,5,heart,0,True,heart\nocturnal_enuresis_1.jpg
Infertility Treatment,infertility treatment,treatment download app now medicine heart,6,heart,0,True,heart\infertility_treatment_1.jpg
Immunological System,immunological system,system download app now medicine heart,6,heart,0,True,heart\immunological_system_1.jpg
Interferons,interferons,download app now medicine heart,5,heart,0,True,heart\interferons_1.jpg
Immuno-Suppresives,immuno-suppresives,download app now medicine heart,5,heart,0,True,heart\immuno_suppresives_1.jpg
Cardio-Vascular System,cardio-vascular system,system download app now medicine heart,6,heart,0,True,heart\cardio_vascular_system_1.jpg
Vascularitics,vascularitics,download app now medicine heart,5,heart,0,True,heart\vascularitics_1.jpg
Anti-Coagulants,anti-coagulants,anti coagulants download app now medicine heart,7,heart,0,True,heart\anti_coagulants_1.jpg
Circulatory Disturbance Agent,circulatory disturbance agent,agent download app now medicine heart,6,heart,0,True,heart\circulatory_disturbance_agent_1.jpg
Haemostatics/Coagulants,haemostatics/coagulants,coagulants download app now medicine heart,6,heart,0,True,heart\haemostaticscoagulants_1.jpg
Congestive Heart Failure,congestive heart failure,heart download app now medicine heart,6,heart,0,True,heart\congestive_heart_failure_1.jpg
Anti-Hypotension,anti-hypotension,anti download app now medicine heart,6,heart,0,True,heart\anti_hypotension_1.jpg
Anti-Hypertensives,anti-hypertensives,anti download app now medicine heart,6,heart,0,True,heart\anti_hypertensives_1.jpg
Anti-Arrhythmics,anti-arrhythmics,anti download app now medicine heart,6,heart,0,True,heart\anti_arrhythmics_1.jpg
Angina Treatment,angina treatment,treatment download app now medicine heart,6,heart,0,True,heart\angina_treatment_1.jpg
Cancer Therapy,cancer therapy,therapy download app now medicine heart,6,heart,0,True,heart\cancer_therapy_1.jpg
Alkylating Agent,alkylating agent,agent download app now medicine heart,6,heart,0,True,heart\alkylating_agent_1.jpg
Monoclonal Antibodies,monoclonal antibodies,download app now medicine heart,5,heart,0,True,heart\monoclonal_antibodies_1.jpg
Cytostatic Anti-Androgen,cytostatic anti-androgen,cytostatic anti download app now medicine heart,7,heart,0,True,heart\cytostatic_anti_androgen_1.jpg
Cytostatic ElGonadtropin Analogu,cytostatic elgonadtropin analogu,cytostatic download app now medicine heart,6,heart,0,True,heart\cytostatic_elgonadtropin_analogu_1.jpg
Enzyme Inhibitor,enzyme inhibitor,download app now medicine heart,5,heart,0,True,heart\enzyme_inhibitor_1.jpg
Cytostatic Anti-Oestrogen,cytostatic anti-oestrogen,cytostatic anti download app now medicine heart,7,heart,0,True,heart\cytostatic_anti_oestrogen_1.jpg
Anti-Metabolites,anti-metabolites,anti download app now medicine heart,6,heart,0,True,heart\anti_metabolites_1.jpg
Neutropenia,neutropenia,download app now medicine heart,5,heart,0,True,heart\neutropenia_1.jpg
Nutrients&Blood Electrolytes,nutrients&blood electrolytes,blood download app now medicine heart,6,heart,0,True,heart\nutrientsblood_electrolytes_1.jpg
Endocrine System,endocrine system,system download app now medicine heart,6,heart,0,True,heart\endocrine_system_1.jpg
Anti-Hyper Thyroidism,anti-hyper thyroidism,anti thyroidism download app now medicine heart,7,heart,0,True,heart\anti_hyper_thyroidism_1.jpg
Hypo-Glycaemics / Antidiabetic,hypo-glycaemics / antidiabetic,hypo download app now medicine heart,6,heart,0,True,heart\hypo_glycaemics_antidiabetic_1.jpg
Gluco-Corticoid,gluco-corticoid,download app now medicine heart,5,heart,0,True,heart\gluco_corticoid_1.jpg
Anti-Hypo Thyroidism,anti-hypo thyroidism,anti hypo thyroidism download app now medicine heart,8,heart,0,True,heart\anti_hypo_thyroidism_1.jpg
Anti-Galactorrhoea,anti-galactorrhoea,anti download app now medicine heart,6,heart,0,True,heart\anti_galactorrhoea_1.jpg
Female Sex Hormones,female sex hormones,sex download app now medicine heart,6,heart,0,True,heart\female_sex_hormones_1.jpg
Insulins,insulins,download app now medicine heart,5,heart,0,True,heart\insulins_1.jpg
Growth Hormone,growth hormone,download app now medicine heart,5,heart,0,True,heart\growth_hormone_1.jpg
Make Up,make up,download app now medicine heart,5,heart,0,True,heart\make_up_1.jpg
Face,face,face download app now medicine heart,6,heart,0,True,heart\face_1.jpg
Nail,nail,download app now medicine heart,5,heart,0,True,heart\nail_1.jpg
Eye,eye,eye download app now medicine heart,6,heart,0,True,heart\eye_1.jpg
Lip,lip,lip download app now medicine heart,6,heart,0,True,heart\lip_1.jpg
Mom & Baby,mom & baby,mom baby download app now medicine heart,7,heart,0,True,heart\mom_baby_1.jpg
Lenses,lenses,download app now medicine heart,5,heart,0,True,heart\lenses_1.jpg
Beauty Accessories,beauty accessories,beauty accessories download app now medicine heart,7,heart,0,True,heart\beauty_accessories_1.jpg
Perfume,perfume,download app now medicine heart,5,heart,0,True,heart\perfume_1.jpg
GLasses,glasses,download app now medicine heart,5,heart,0,True,heart\glasses_1.jpg
Eye Lasher Accessories,eye lasher accessories,eye accessories download app now medicine heart,7,heart,0,True,heart\eye_lasher_accessories_1.jpg
Nails Beauty,nails beauty,beauty download app now medicine heart,6,heart,0,True,heart\nails_beauty_1.jpg
Oral Care,oral care,care download app now medicine heart,6,heart,0,True,heart\oral_care_1.jpg
Dental Care,dental care,dental care download app now medicine heart,7,heart,0,True,heart\dental_care_1.jpg
Breath Fresheners,breath fresheners,fresheners download app now medicine heart,6,heart,0,True,heart\breath_fresheners_1.jpg
Teeth Whitening,teeth whitening,teeth whitening download app now medicine heart,7,heart,0,True,heart\teeth_whitening_1.jpg
Toothbrush,toothbrush,toothbrush download app now medicine heart,6,heart,0,True,heart\toothbrush_1.jpg
Dental Floss,dental floss,dental download app now medicine heart,6,heart,0,True,heart\dental_floss_1.jpg
Toothpaste,toothpaste,toothpaste download app now medicine heart,6,heart,0,True,heart\toothpaste_1.jpg
Women Care,women care,women care download app now medicine heart,7,heart,0,True,heart\women_care_1.jpg
Hair Styling Electronics,hair styling electronics,hair styling electronics download app now medicine heart,8,heart,0,True,heart\hair_styling_electronics_1.jpg
Hair Removal Products,hair removal products,hair removal products download app now medicine heart,8,heart,0,True,heart\hair_removal_products_1.jpg
Women Sanitary Care,women sanitary care,women sanitary care download app now medicine heart,8,heart,0,True,heart\women_sanitary_care_1.jpg
Electric Hair Removal Machines,electric hair removal machines,hair removal machines download app now medicine heart,8,heart,0,True,heart\electric_hair_removal_machines_1.jpg
Sanitary Napkins,sanitary napkins,sanitary download app now medicine heart,6,heart,0,True,heart\sanitary_napkins_1.jpg
Bath & Body,bath & body,bath body download app now medicine heart,7,heart,0,True,heart\bath_body_1.jpg
Bath Loof,bath loof,bath download app now medicine heart,6,heart,0,True,heart\bath_loof_1.jpg
Hand Wash,hand wash,hand wash download app now medicine heart,7,heart,0,True,heart\hand_wash_1.jpg
Body Wash,body wash,body wash download app now medicine heart,7,heart,0,True,heart\body_wash_1.jpg
Body Fresheners,body fresheners,body fresheners download app now medicine heart,7,heart,0,True,heart\body_fresheners_1.jpg
Deodrant Cream,deodrant cream,deodrant cream download app now medicine heart,7,heart,0,True,heart\deodrant_cream_1.jpg
Body Mist,body mist,body download app now medicine heart,6,heart,0,True,heart\body_mist_1.jpg
Body Cologne,body cologne,body download app now medicine heart,6,heart,0,True,heart\body_cologne_1.jpg
Deodrant Stick,deodrant stick,deodrant download app now medicine heart,6,heart,0,True,heart\deodrant_stick_1.jpg
Body Spray,body spray,body download app now medicine heart,6,heart,0,True,heart\body_spray_1.jpg
Deodrant Roll On,deodrant roll on,deodrant download app now medicine heart,6,heart,0,True,heart\deodrant_roll_on_1.jpg
Man Care,man care,care download app now medicine heart,6,heart,0,True,heart\man_care_1.jpg
Shaving Machines,shaving machines,shaving machines download app now medicine heart,7,heart,0,True,heart\shaving_machines_1.jpg
Beard Care,beard care,care download app now medicine heart,6,heart,0,True,heart\beard_care_1.jpg
Shave & After Shave Products,shave & after shave products,shave shave products download app now medicine heart,8,heart,0,True,heart\shave_after_shave_products_1.jpg
Shaving & Trimming Electronics,shaving & trimming electronics,shaving electronics download app now medicine heart,7,heart,0,True,heart\shaving_trimming_electronics_1.jpg
Home Care&Hygienics,home care&hygienics,care download app now medicine heart,6,heart,0,True,heart\home_carehygienics_1.jpg
Elderly Care,elderly care,care download app now medicine heart,6,heart,0,True,heart\elderly_care_1.jpg
Hair Treatment,hair treatment,hair treatment download app now medicine heart,7,heart,0,True,heart\hair_treatment_1.jpg
Hair Oil & Serum,hair oil & serum,hair oil download app now medicine heart,7,heart,0,True,heart\hair_oil_serum_1.jpg
Hair Styling,hair styling,hair styling download app now medicine heart,7,heart,0,True,heart\hair_styling_1.jpg
Hair Conditioner,hair conditioner,hair download app now medicine heart,6,heart,0,True,heart\hair_conditioner_1.jpg
Hair Colorings,hair colorings,hair download app now medicine heart,6,heart,0,True,heart\hair_colorings_1.jpg
Hair Shampoo,hair shampoo,hair download app now medicine heart,6,heart,0,True,heart\hair_shampoo_1.jpg
Hair Cure & Lice Treatment,hair cure & lice treatment,hair lice treatment download app now medicine heart,8,heart,0,True,heart\hair_cure_lice_treatment_1.jpg
Hair Mask,hair mask,hair download app now medicine heart,6,heart,0,True,heart\hair_mask_1.jpg
Condoms,condoms,download app now medicine heart,5,heart,0,True,heart\condoms_1.jpg
Male Sexual Tonics,male sexual tonics,male download app now medicine heart,6,heart,0,True,heart\male_sexual_tonics_1.jpg
Lubricants & Moisturizers,lubricants & moisturizers,moisturizers download app now medicine heart,6,heart,0,True,heart\lubricants_moisturizers_1.jpg
Contraceptives,contraceptives,download app now medicine heart,5,heart,0,True,heart\contraceptives_1.jpg
Nebulizer & Accessories,nebulizer & accessories,accessories download app now medicine heart,6,heart,0,True,heart\nebulizer_accessories_1.jpg
First Aid & Disposables,first aid & disposables,aid download app now medicine heart,6,heart,0,True,heart\first_aid_disposables_1.jpg
Medical Supplies,medical supplies,medical supplies download app now medicine heart,7,heart,0,True,heart\medical_supplies_1.jpg
Thermometers,thermometers,download app now medicine heart,5,heart,0,True,heart\thermometers_1.jpg
Scales,scales,download app now medicine heart,5,heart,0,True,heart\scales_1.jpg
Pain Management / Heating Pads,pain management / heating pads,management download app now medicine heart,6,heart,0,True,heart\pain_management_heating_pads_1.jpg
